id,locality,price_cr,sqft
1,Bandra East,5.39,1572
2,Borivali West,5.05,833
3,Andheri West,7.47,1105
4,Bandra East,1.92,722
5,Borivali West,5.73,1510
6,Andheri West,7.38,1389
7,Andheri West,4.23,753
8,Bandra East,5.92,1669
9,Chembur,4.97,1684
10,Andheri West,5.95,1728
11,Andheri West,3.59,1384
12,Chembur,1.77,842
13,Bandra East,1.91,1319
14,Chembur,2.96,936
15,Worli,7.85,1209
16,Bandra East,6.16,905
17,Bandra East,1.98,1408
18,Powai,6.04,1503
19,Bandra East,4.32,1521
20,Andheri West,5.64,1615
21,Borivali West,4.85,1213
22,Borivali West,8.11,865
23,Worli,4.6,1163
24,Andheri West,5.84,1109
25,Chembur,2.62,861
26,Bandra East,7.72,1135
27,Andheri West,4.38,1731
28,Bandra East,2.63,993
29,Chembur,2.31,1087
30,Chembur,6.72,1606
31,Borivali West,7.61,1569
32,Worli,2.63,1091
33,Andheri West,2.33,1281
34,Andheri West,2.58,903
35,Worli,6.52,779
36,Chembur,2.59,1483
37,Borivali West,5.59,704
38,Borivali West,3.26,1777
39,Worli,1.37,1718
40,Andheri West,5.03,1610
41,Worli,7.84,1616
42,Powai,6.9,1490
43,Worli,5.8,717
44,Worli,6.14,622
45,Powai,7.72,1307
46,Worli,6.82,1153
47,Andheri West,7.84,723
48,Chembur,3.21,809
49,Bandra East,5.74,1522
50,Andheri West,6.52,809
51,Chembur,3.9,996
52,Andheri West,3.73,842
53,Borivali West,4.04,657
54,Powai,3.8,1193
55,Chembur,7.2,892
56,Borivali West,7.33,1425
57,Worli,8.19,1725
58,Borivali West,2.13,1785
59,Worli,6.41,1260
60,Chembur,1.98,1108
61,Worli,5.71,1796
62,Borivali West,4.69,1452
63,Andheri West,3.44,871
64,Chembur,6.89,1602
65,Worli,3.42,1478
66,Bandra East,5.96,821
67,Bandra East,2.28,1700
68,Bandra East,3.08,893
69,Worli,2.88,668
70,Bandra East,6.56,776
71,Worli,7.82,1170
72,Worli,6.53,1636
73,Worli,4.29,800
74,Andheri West,4.37,1605
75,Powai,2.18,889
76,Chembur,2.15,1260
77,Chembur,6.18,1555
78,Bandra East,3.27,1365
79,Worli,6.26,880
80,Worli,6.73,1694
81,Andheri West,7.12,848
82,Chembur,2.53,1142
83,Borivali West,2.15,639
84,Powai,2.5,1525
85,Worli,4.87,1200
86,Andheri West,4.21,1591
87,Bandra East,2.81,702
88,Borivali West,5.56,602
89,Chembur,4.36,1502
90,Andheri West,3.14,1604
91,Bandra East,2.5,1681
92,Worli,6.75,1762
93,Chembur,2.3,1566
94,Andheri West,2.23,802
95,Andheri West,2.86,642
96,Worli,6.97,1609
97,Bandra East,4.64,1014
98,Chembur,5.79,1058
99,Chembur,1.4,1721
100,Bandra East,2.9,1775
101,Bandra East,3.31,1352
102,Chembur,6.19,1529
103,Bandra East,6.92,727
104,Worli,2.56,1593
105,Worli,2.25,1118
106,Bandra East,6.28,1264
107,Borivali West,1.92,1405
108,Borivali West,8.31,1546
109,Borivali West,5.72,765
110,Andheri West,1.46,1241
111,Andheri West,5.06,773
112,Powai,8.01,1612
113,Borivali West,8.08,1331
114,Bandra East,2.11,1786
115,Bandra East,4.72,1722
116,Andheri West,2.71,1203
117,Bandra East,4.49,1567
118,Chembur,7.67,804
119,Powai,6.72,1507
120,Andheri West,6.1,1729
121,Andheri West,5.62,1238
122,Worli,5.93,723
123,Chembur,1.94,1576
124,Chembur,8.29,1593
125,Chembur,3.52,1728
