id,locality,price_cr,sqft
1,Chembur,1.67,937
2,Chembur,6.77,1117
3,Borivali West,7.49,1705
4,Chembur,6.52,1337
5,Borivali West,3.5,1549
6,Powai,2.94,646
7,Worli,1.82,1092
8,Chembur,6.02,1445
9,Bandra East,5.27,1582
10,Chembur,6.3,612
11,Chembur,6.62,1114
12,Bandra East,6.66,1795
13,Worli,3.26,913
14,Andheri West,4.48,1545
15,Borivali West,2.91,1132
16,Chembur,4.49,674
17,Chembur,6.43,936
18,Borivali West,2.9,649
19,Bandra East,5.61,1483
20,Chembur,5.67,1469
21,Chembur,3.36,1156
22,Bandra East,3.25,880
23,Andheri West,5.64,648
24,Andheri West,6.41,1485
25,Borivali West,5.05,900
26,Powai,1.53,1027
27,Bandra East,2.66,616
28,Worli,1.97,1330
29,Bandra East,6.57,1341
30,Powai,2.58,1390
31,Borivali West,6.12,1673
32,Borivali West,7.14,936
33,Andheri West,7.13,1470
34,Bandra East,7.58,734
35,Worli,2.1,1550
36,Chembur,4.26,832
37,Borivali West,2.06,1230
38,Worli,5.97,1465
39,Bandra East,3.36,682
40,Worli,2.58,1315
41,Worli,2.47,1389
42,Worli,7.75,627
43,Borivali West,7.83,901
44,Powai,4.68,907
45,Chembur,3.12,1373
46,Borivali West,2.2,845
47,Bandra East,1.77,1662
48,Chembur,2.07,1041
49,Powai,7.9,1461
50,Powai,7.89,1687
51,Worli,6.0,886
52,Borivali West,4.89,872
53,Powai,6.73,1653
54,Andheri West,3.23,1496
55,Worli,8.11,1464
56,Borivali West,4.4,939
57,Chembur,4.55,1084
58,Andheri West,7.35,1630
59,Andheri West,2.92,1048
60,Chembur,4.22,1006
61,Bandra East,5.44,1612
62,Worli,2.8,1496
63,Andheri West,3.59,881
64,Chembur,2.67,1505
65,Chembur,6.3,1799
66,Chembur,4.35,1031
67,Worli,2.17,1187
68,Bandra East,6.52,692
69,Andheri West,1.68,1493
70,Chembur,7.63,652
71,Chembur,2.71,1127
72,Borivali West,2.8,1696
73,Andheri West,5.19,690
74,Worli,1.66,827
75,Worli,8.44,1492
76,Bandra East,4.93,1404
77,Andheri West,8.49,1143
78,Andheri West,6.16,1071
79,Worli,6.48,1473
80,Worli,1.98,1611
81,Chembur,7.34,1408
82,Bandra East,6.55,1421
83,Powai,5.67,917
84,Andheri West,6.86,917
85,Borivali West,5.04,1686
86,Borivali West,8.21,1126
87,Worli,4.8,888
88,Chembur,1.84,1393
89,Worli,2.24,1254
90,Worli,7.2,1085
91,Borivali West,2.48,1483
92,Andheri West,5.69,1663
93,Worli,4.29,1678
94,Bandra East,7.89,1043
95,Worli,2.49,1428
96,Powai,5.31,722
97,Worli,8.3,1518
98,Borivali West,5.16,784
99,Worli,6.84,1013
100,Chembur,2.94,1298
101,Worli,4.66,1222
102,Worli,7.24,1312
103,Borivali West,8.45,1358
104,Andheri West,3.27,761
105,Worli,4.8,821
106,Bandra East,3.15,873
107,Powai,7.43,1423
108,Bandra East,7.99,1747
109,Borivali West,7.27,1535
110,Worli,2.74,708
111,Powai,5.13,837
112,Worli,2.34,1544
113,Bandra East,2.93,1760
114,Chembur,6.51,845
115,Worli,3.06,1552
116,Andheri West,5.66,735
117,Andheri West,3.93,1237
118,Chembur,4.11,858
119,Worli,7.08,628
120,Andheri West,3.17,1197
121,Powai,4.58,661
122,Bandra East,2.78,658
123,Andheri West,6.35,1247
124,Bandra East,5.43,1187
125,Andheri West,7.26,1532
126,Borivali West,3.49,1135
127,Borivali West,2.64,1554
128,Andheri West,4.58,1185
129,Powai,4.19,689
130,Worli,1.76,1079
131,Worli,6.58,924
132,Powai,3.13,943
133,Chembur,5.42,1409
134,Worli,8.13,1297
135,Andheri West,2.35,1503
136,Powai,4.67,1253
137,Andheri West,7.88,1470
138,Chembur,4.03,1117
139,Bandra East,5.7,1317
140,Borivali West,6.38,1134
141,Bandra East,4.9,695
142,Andheri West,3.39,956
143,Chembur,3.11,1564
144,Powai,1.42,1022
145,Worli,5.78,780
146,Bandra East,3.04,1174
147,Andheri West,5.54,1230
148,Andheri West,3.89,1612
149,Chembur,6.79,1374
150,Worli,7.61,1415
151,Powai,8.11,832
152,Worli,6.37,1590
153,Worli,3.55,1171
154,Worli,5.08,1506
155,Bandra East,4.86,1112
156,Andheri West,7.29,824
157,Chembur,7.85,1542
158,Chembur,1.61,1088
159,Andheri West,3.28,1547
160,Worli,1.84,702
161,Bandra East,7.47,1668
162,Powai,7.76,1622
163,Bandra East,1.45,1120
164,Andheri West,6.86,636
165,Chembur,3.47,854
166,Borivali West,7.36,1206
167,Andheri West,1.64,1732
168,Worli,2.45,1364
169,Andheri West,8.38,703
170,Powai,7.59,1424
171,Chembur,3.91,1357
172,Borivali West,6.16,889
173,Bandra East,6.83,1655
174,Borivali West,4.52,1431
175,Andheri West,8.05,1564
176,Chembur,7.08,1254
177,Chembur,3.91,823
178,Borivali West,1.21,1383
179,Andheri West,6.18,1762
180,Chembur,8.15,717
181,Andheri West,3.42,1116
182,Bandra East,3.87,1526
183,Borivali West,3.38,1018
184,Andheri West,6.13,1558
185,Powai,2.74,961
186,Powai,5.76,1201
187,Andheri West,5.6,724
188,Chembur,6.28,717
189,Bandra East,6.07,815
190,Chembur,2.33,821
191,Andheri West,3.64,655
192,Chembur,3.4,1463
193,Bandra East,8.42,1293
194,Powai,7.68,857
195,Andheri West,4.11,1207
196,Worli,3.83,1159
197,Chembur,7.0,1561
198,Andheri West,4.19,1715
199,Andheri West,3.47,1327
200,Chembur,4.39,710
201,Worli,4.95,1166
202,Andheri West,2.03,763
203,Powai,2.3,1783
204,Bandra East,6.92,1112
205,Borivali West,8.18,1520
206,Worli,3.59,1611
207,Worli,7.78,1459
208,Andheri West,1.52,712
209,Bandra East,7.37,1156
210,Chembur,5.69,1508
211,Powai,8.42,1439
212,Bandra East,1.99,1008
213,Borivali West,8.13,672
214,Powai,6.57,747
215,Worli,2.85,685
216,Chembur,5.98,1796
217,Worli,4.14,1679
218,Andheri West,5.41,1618
219,Chembur,2.1,1708
220,Bandra East,6.26,1121
221,Bandra East,4.12,1357
222,Chembur,4.69,1586
223,Bandra East,4.71,671
224,Powai,6.82,1005
225,Chembur,1.35,1153
226,Bandra East,1.85,1647
227,Borivali West,6.18,1744
228,Borivali West,4.94,1610
229,Borivali West,4.77,938
230,Borivali West,4.54,1143
231,Chembur,5.63,771
232,Borivali West,6.28,1556
233,Bandra East,4.73,943
234,Borivali West,7.18,1222
235,Andheri West,4.27,1415
236,Borivali West,6.26,1419
237,Chembur,4.74,1666
238,Powai,7.27,862
239,Bandra East,7.56,739
240,Bandra East,7.93,1449
241,Andheri West,3.42,1120
242,Borivali West,7.61,803
243,Powai,3.47,1657
244,Powai,5.24,1141
245,Worli,2.98,1148
246,Bandra East,5.55,1001
247,Borivali West,1.73,698
248,Chembur,1.7,963
249,Borivali West,1.26,807
250,Chembur,6.06,1410
251,Borivali West,6.07,1550
252,Andheri West,5.45,1213
253,Andheri West,4.42,1134
254,Andheri West,1.6,1568
255,Powai,5.22,1264
256,Andheri West,8.11,1714
257,Borivali West,3.79,1722
258,Worli,8.4,1051
259,Chembur,3.67,815
260,Chembur,2.45,1152
261,Chembur,2.07,910
262,Bandra East,7.89,1627
263,Bandra East,1.5,1358
264,Andheri West,6.53,1699
265,Bandra East,2.05,829
266,Borivali West,8.42,1547
267,Powai,7.64,610
268,Chembur,8.39,1755
269,Borivali West,6.62,1244
270,Powai,1.51,941
271,Worli,1.39,837
272,Chembur,3.83,1557
273,Bandra East,8.26,987
274,Powai,5.33,1020
275,Andheri West,2.92,1756
276,Powai,5.85,998
277,Borivali West,7.08,1638
278,Borivali West,1.61,1500
279,Powai,7.24,1079
280,Worli,3.14,1403
281,Chembur,8.18,888
282,Bandra East,8.06,710
283,Powai,6.25,1257
284,Borivali West,2.63,924
285,Chembur,6.73,916
286,Chembur,8.47,1648
287,Andheri West,6.47,601
288,Powai,7.51,1725
289,Borivali West,5.67,1048
290,Powai,1.76,1786
291,Powai,3.5,699
292,Chembur,6.54,1318
293,Powai,6.81,636
294,Borivali West,3.57,1320
295,Worli,3.13,1007
296,Borivali West,1.24,629
297,Andheri West,2.5,1185
298,Borivali West,4.19,625
299,Chembur,4.38,683
300,Powai,3.09,1014
301,Chembur,7.42,898
302,Andheri West,8.23,1193
303,Powai,3.57,1152
304,Powai,3.45,1668
